Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,20
Horizontal Delay,0
Sample Interval,0.002
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.005
Vertical Position,2
,
,
,
Label,
TIME,CH3
-98.804,-0.0152
-98.802,-0.0164
-98.8,-0.015
-98.798,-0.0166
-98.796,-0.0158
-98.794,-0.0156
-98.792,-0.0164
-98.79,-0.016
-98.788,-0.0154
-98.786,-0.0156
-98.784,-0.016
-98.782,-0.0158
-98.78,-0.016
-98.778,-0.0156
-98.776,-0.0156
-98.774,-0.0164
-98.772,-0.0162
-98.77,-0.0166
-98.768,-0.016
-98.766,-0.0182
-98.764,-0.0154
-98.762,-0.0152
-98.76,-0.0168
-98.758,-0.016
-98.756,-0.0158
-98.754,-0.0166
-98.752,-0.0154
-98.75,-0.0186
-98.748,-0.0166
-98.746,-0.0158
-98.744,-0.016
-98.742,-0.0156
-98.74,-0.0158
-98.738,-0.0164
-98.736,-0.0158
-98.734,-0.0158
-98.732,-0.016
-98.73,-0.0162
-98.728,-0.0168
-98.726,-0.0162
-98.724,-0.016
-98.722,-0.0156
-98.72,-0.0152
-98.718,-0.0158
-98.716,-0.0152
-98.714,-0.0158
-98.712,-0.0156
-98.71,-0.0152
-98.708,-0.016
-98.706,-0.0158
-98.704,-0.016
-98.702,-0.0168
-98.7,-0.0164
-98.698,-0.016
-98.696,-0.0156
-98.694,-0.0164
-98.692,-0.0162
-98.69,-0.016
-98.688,-0.0156
-98.686,-0.0154
-98.684,-0.0164
-98.682,-0.0164
-98.68,-0.0158
-98.678,-0.016
-98.676,-0.015
-98.674,-0.0152
-98.672,-0.0164
-98.67,-0.016
-98.668,-0.016
-98.666,-0.016
-98.664,-0.0156
-98.662,-0.0158
-98.66,-0.0166
-98.658,-0.0162
-98.656,-0.0142
-98.654,-0.0172
-98.652,-0.0154
-98.65,-0.016
-98.648,-0.0156
-98.646,-0.016
-98.644,-0.0164
-98.642,-0.0158
-98.64,-0.017
-98.638,-0.0164
-98.636,-0.0152
-98.634,-0.015
-98.632,-0.0154
-98.63,-0.0164
-98.628,-0.0156
-98.626,-0.0152
-98.624,-0.016
-98.622,-0.016
-98.62,-0.0162
-98.618,-0.0168
-98.616,-0.016
-98.614,-0.0172
-98.612,-0.0164
-98.61,-0.0158
-98.608,-0.0176
-98.606,-0.0162
-98.604,-0.0152
-98.602,-0.0164
-98.6,-0.0162
-98.598,-0.016
-98.596,-0.016
-98.594,-0.0154
-98.592,-0.0156
-98.59,-0.0164
-98.588,-0.0166
-98.586,-0.0156
-98.584,-0.0158
-98.582,-0.015
-98.58,-0.016
-98.578,-0.0158
-98.576,-0.0164
-98.574,-0.016
-98.572,-0.0158
-98.57,-0.0164
-98.568,-0.0166
-98.566,-0.0158
-98.564,-0.0158
-98.562,-0.0156
-98.56,-0.0164
-98.558,-0.0168
-98.556,-0.0162
-98.554,-0.0156
-98.552,-0.0154
-98.55,-0.0152
-98.548,-0.0156
-98.546,-0.0158
-98.544,-0.0158
-98.542,-0.0162
-98.54,-0.0162
-98.538,-0.0158
-98.536,-0.0164
-98.534,-0.0166
-98.532,-0.016
-98.53,-0.0162
-98.528,-0.0164
-98.526,-0.0152
-98.524,-0.016
-98.522,-0.0166
-98.52,-0.0164
-98.518,-0.0164
-98.516,-0.0164
-98.514,-0.015
-98.512,-0.0162
-98.51,-0.016
-98.508,-0.0152
-98.506,-0.0162
-98.504,-0.016
-98.502,-0.0162
-98.5,-0.0158
-98.498,-0.0164
-98.496,-0.016
-98.494,-0.0156
-98.492,-0.0162
-98.49,-0.0174
-98.488,-0.0162
-98.486,-0.0164
-98.484,-0.0164
-98.482,-0.0156
-98.48,-0.016
-98.478,-0.0158
-98.476,-0.0158
-98.474,-0.016
-98.472,-0.0152
-98.47,-0.0162
-98.468,-0.0156
-98.466,-0.0154
-98.464,-0.0162
-98.462,-0.0158
-98.46,-0.0164
-98.458,-0.0158
-98.456,-0.016
-98.454,-0.0156
-98.452,-0.015
-98.45,-0.0162
-98.448,-0.016
-98.446,-0.0164
-98.444,-0.0156
-98.442,-0.0164
-98.44,-0.0158
-98.438,-0.0164
-98.436,-0.0156
-98.434,-0.016
-98.432,-0.0164
-98.43,-0.0158
-98.428,-0.0164
-98.426,-0.0146
-98.424,-0.0158
-98.422,-0.0166
-98.42,-0.0152
-98.418,-0.0166
-98.416,-0.0156
-98.414,-0.0154
-98.412,-0.0164
-98.41,-0.0158
-98.408,-0.0164
-98.406,-0.016
-98.404,-0.0164
-98.402,-0.0162
-98.4,-0.0164
-98.398,-0.0166
-98.396,-0.016
-98.394,-0.0152
-98.392,-0.0174
-98.39,-0.0164
-98.388,-0.016
-98.386,-0.016
-98.384,-0.0158
-98.382,-0.0164
-98.38,-0.0158
-98.378,-0.0158
-98.376,-0.0166
-98.374,-0.0156
-98.372,-0.0154
-98.37,-0.0168
-98.368,-0.017
-98.366,-0.0154
-98.364,-0.0154
-98.362,-0.0166
-98.36,-0.0172
-98.358,-0.0166
-98.356,-0.0158
-98.354,-0.0166
-98.352,-0.0162
-98.35,-0.016
-98.348,-0.0164
-98.346,-0.0154
-98.344,-0.0164
-98.342,-0.015
-98.34,-0.016
-98.338,-0.0162
-98.336,-0.0154
-98.334,-0.0164
-98.332,-0.0154
-98.33,-0.0154
-98.328,-0.0154
-98.326,-0.0164
-98.324,-0.015
-98.322,-0.0152
-98.32,-0.0154
-98.318,-0.0166
-98.316,-0.0152
-98.314,-0.0158
-98.312,-0.017
-98.31,-0.0164
-98.308,-0.0158
-98.306,-0.016
-98.304,-0.0162
-98.302,-0.0154
-98.3,-0.0148
-98.298,-0.0152
-98.296,-0.0158
-98.294,-0.015
-98.292,-0.016
-98.29,-0.016
-98.288,-0.0148
-98.286,-0.016
-98.284,-0.0154
-98.282,-0.0154
-98.28,-0.0162
-98.278,-0.0146
-98.276,-0.0158
-98.274,-0.0156
-98.272,-0.0156
-98.27,-0.0164
-98.268,-0.016
-98.266,-0.0158
-98.264,-0.0156
-98.262,-0.015
-98.26,-0.0156
-98.258,-0.0154
-98.256,-0.016
-98.254,-0.0162
-98.252,-0.0146
-98.25,-0.0162
-98.248,-0.0164
-98.246,-0.0164
-98.244,-0.0158
-98.242,-0.0162
-98.24,-0.0156
-98.238,-0.0166
-98.236,-0.0164
-98.234,-0.0166
-98.232,-0.0156
-98.23,-0.0156
-98.228,-0.0156
-98.226,-0.017
-98.224,-0.0158
-98.222,-0.015
-98.22,-0.0146
-98.218,-0.015
-98.216,-0.0162
-98.214,-0.0164
-98.212,-0.0158
-98.21,-0.0166
-98.208,-0.0158
-98.206,-0.016
-98.204,-0.015
-98.202,-0.0162
-98.2,-0.0164
-98.198,-0.0158
-98.196,-0.016
-98.194,-0.0158
-98.192,-0.0154
-98.19,-0.015
-98.188,-0.016
-98.186,-0.0156
-98.184,-0.0164
-98.182,-0.016
-98.18,-0.0158
-98.178,-0.0156
-98.176,-0.0158
-98.174,-0.0164
-98.172,-0.0148
-98.17,-0.0156
-98.168,-0.0152
-98.166,-0.0164
-98.164,-0.016
-98.162,-0.015
-98.16,-0.0152
-98.158,-0.016
-98.156,-0.016
-98.154,-0.0152
-98.152,-0.0162
-98.15,-0.0156
-98.148,-0.0166
-98.146,-0.0152
-98.144,-0.0152
-98.142,-0.0166
-98.14,-0.015
-98.138,-0.0162
-98.136,-0.0154
-98.134,-0.0154
-98.132,-0.0156
-98.13,-0.015
-98.128,-0.0154
-98.126,-0.0154
-98.124,-0.0154
-98.122,-0.0158
-98.12,-0.0162
-98.118,-0.0152
-98.116,-0.016
-98.114,-0.0162
-98.112,-0.0152
-98.11,-0.0156
-98.108,-0.0154
-98.106,-0.0156
-98.104,-0.0144
-98.102,-0.0154
-98.1,-0.0158
-98.098,-0.015
-98.096,-0.016
-98.094,-0.015
-98.092,-0.0152
-98.09,-0.0156
-98.088,-0.015
-98.086,-0.0162
-98.084,-0.0152
-98.082,-0.0148
-98.08,-0.0164
-98.078,-0.0152
-98.076,-0.0158
-98.074,-0.0162
-98.072,-0.0158
-98.07,-0.016
-98.068,-0.0152
-98.066,-0.0144
-98.064,-0.016
-98.062,-0.0158
-98.06,-0.016
-98.058,-0.0166
-98.056,-0.015
-98.054,-0.0172
-98.052,-0.0152
-98.05,-0.0156
-98.048,-0.0164
-98.046,-0.0154
-98.044,-0.0158
-98.042,-0.016
-98.04,-0.0146
-98.038,-0.015
-98.036,-0.0156
-98.034,-0.0158
-98.032,-0.016
-98.03,-0.016
-98.028,-0.016
-98.026,-0.0154
-98.024,-0.0156
-98.022,-0.0162
-98.02,-0.0156
-98.018,-0.0152
-98.016,-0.0158
-98.014,-0.0158
-98.012,-0.0158
-98.01,-0.0152
-98.008,-0.0154
-98.006,-0.0166
-98.004,-0.016
-98.002,-0.016
-98,-0.0156
-97.998,-0.0156
